"id";"numero_cte";"xml_cte_sftp";"xml_par_sftp";"pod_par_sftp";"situacao"
"8439";"000048585";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8654";"000048586";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8463";"000048590";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8494";"000048591";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8699";"000048592";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8386";"000048594";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8445";"000048595";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8590";"000048597";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8470";"000048599";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8441";"000048666";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8465";"000048670";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8564";"000048671";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8404";"000048681";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8421";"000048684";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8474";"000048688";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8414";"000048692";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8635";"000048695";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8341";"000048696";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8677";"000048697";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8696";"000048698";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8600";"000048699";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8682";"000048702";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8355";"000048704";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8642";"000048705";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8676";"000048707";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8592";"000048711";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8617";"000048712";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8571";"000048716";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8359";"000048720";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8579";"000048723";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8460";"000048726";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8486";"000048727";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8475";"000048730";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8680";"000048732";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8692";"000048736";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8541";"000048737";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8561";"000048738";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8403";"000048740";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8394";"000048742";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8411";"000048743";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8686";"000048744";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8551";"000048774";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8549";"000048778";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8566";"000048781";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8693";"000048784";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8375";"000048789";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8584";"000048790";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
"8335";"000048800";"False";"False";"True";"CONFIRMACAO_DESTINO_INDISPONIVEL_POR_AUTORIZACAO"
